landscape_unit_id,watersystem_code,watersystem_name,unit_basin_code,gsi_landform_class,available_area_m2,available_area_km2,available_share_known,available_share_basin,landform_coverage_ratio,resolution_m,source,selection_inference_ready
B_130000_6_LF_CLASS::氾濫平野・海岸平野,130000,,6,氾濫平野・海岸平野,1349000.0,1.349,0.18887737671865812,0.18887737671865812,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_6_LF_CLASS::水部,130000,,6,水部,5400.0,0.0054,0.0007560695583993727,0.0007560695583993727,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_7_LF_CLASS::自然堤防,130000,,7,自然堤防,136600.0,0.1366,0.06313259694042613,0.06307138239911349,0.9990303813833226,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_7_LF_CLASS::氾濫平野・海岸平野,130000,,7,氾濫平野・海岸平野,2019400.0,2.0194,0.9333086841983639,0.9324037307230585,0.9990303813833226,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_7_LF_CLASS::水部,130000,,7,水部,7700.0,0.0077,0.0035587188612099642,0.003555268261150614,0.9990303813833226,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_8_LF_CLASS::水部,130000,,8,水部,102600.0,0.1026,0.07789249924081385,0.07789249924081385,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_8_LF_CLASS::旧水部,130000,,8,旧水部,1214600.0,1.2146,0.9221075007591861,0.9221075007591861,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_9_LF_CLASS::水部,130000,,9,水部,6000.0,0.006,0.00880023467292461,0.00880023467292461,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_9_LF_CLASS::旧水部,130000,,9,旧水部,675800.0,0.6758,0.9911997653270754,0.9911997653270754,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_140000_1_LF_CLASS::水部,140000,,1,水部,4500.0,0.0045,1.0,1.0,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_140001_5_LF_CLASS::山地斜面等,140001,,5,山地斜面等,1300.0,0.0013,0.018731988472622477,0.01870503597122302,0.9985611510791367,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_140001_5_LF_CLASS::台地・段丘,140001,,5,台地・段丘,65900.0,0.0659,0.9495677233429395,0.9482014388489208,0.9985611510791367,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_140001_5_LF_CLASS::氾濫平野・海岸平野,140001,,5,氾濫平野・海岸平野,2100.0,0.0021,0.03025936599423631,0.030215827338129497,0.9985611510791367,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_140001_5_LF_CLASS::水部,140001,,5,水部,100.0,0.0001,0.001440922190201729,0.0014388489208633094,0.9985611510791367,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_140013_16_LF_CLASS::山地斜面等,140013,,16,山地斜面等,17400.0,0.0174,0.12357954545454546,0.12357954545454546,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_140013_16_LF_CLASS::台地・段丘,140013,,16,台地・段丘,117700.0,0.1177,0.8359375,0.8359375,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_140013_16_LF_CLASS::氾濫平野・海岸平野,140013,,16,氾濫平野・海岸平野,5700.0,0.0057,0.040482954545454544,0.040482954545454544,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_140013_17_LF_CLASS::山地斜面等,140013,,17,山地斜面等,5384000.0,5.384,0.32747798160673447,0.3274540810120423,0.9999270161780806,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_140013_17_LF_CLASS::崖・段丘崖,140013,,17,崖・段丘崖,290700.0,0.2907,0.017681621332295266,0.017680330859992703,0.9999270161780806,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_140013_17_LF_CLASS::台地・段丘,140013,,17,台地・段丘,5938400.0,5.9384,0.36119896842002824,0.36117260673883955,0.9999270161780806,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_140013_17_LF_CLASS::山麓堆積地形,140013,,17,山麓堆積地形,74600.0,0.0746,0.004537492092842197,0.004537160929327332,0.9999270161780806,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_140013_17_LF_CLASS::凹地・浅い谷,140013,,17,凹地・浅い谷,4000.0,0.004,0.00024329716315507762,0.0002432794063982484,0.9999270161780806,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_140013_17_LF_CLASS::氾濫平野・海岸平野,140013,,17,氾濫平野・海岸平野,4504900.0,4.5049,0.27400734757432726,0.2739873494708673,0.9999270161780806,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_140013_17_LF_CLASS::旧河道,140013,,17,旧河道,123600.0,0.1236,0.007517882341491898,0.007517333657705875,0.9999270161780806,10.0,GSI_natural_landform_GeoJSON_rasterized,True
