scheme,group_id,group_label,activity_domain,phase_pair,phase_pair_order,transition,n_places,active_total_places,active_transition_composition
unit_basin,B_830303_427,利根川 / basin 427,all_land_use,Ko->Na,4,drop,3,7,0.42857142857142855
unit_basin,B_830303_427,利根川 / basin 427,all_land_use,Ko->Na,4,new,0,7,0
unit_basin,B_830303_427,利根川 / basin 427,all_land_use,Na->He,5,continue,4,4,1
unit_basin,B_830303_427,利根川 / basin 427,all_land_use,Na->He,5,drop,0,4,0
unit_basin,B_830303_427,利根川 / basin 427,all_land_use,Na->He,5,new,0,4,0
unit_basin,B_830303_427,利根川 / basin 427,all_land_use,Ya->Ko,3,continue,0,7,0
unit_basin,B_830303_427,利根川 / basin 427,all_land_use,Ya->Ko,3,drop,0,7,0
unit_basin,B_830303_427,利根川 / basin 427,all_land_use,Ya->Ko,3,new,7,7,1
unit_basin,B_830303_432,利根川 / basin 432,all_land_use,He->Me,6,continue,0,2,0
unit_basin,B_830303_432,利根川 / basin 432,all_land_use,He->Me,6,drop,0,2,0
unit_basin,B_830303_432,利根川 / basin 432,all_land_use,He->Me,6,new,2,2,1
unit_basin,B_830303_470,利根川 / basin 470,all_land_use,He->Me,6,continue,0,1,0
unit_basin,B_830303_470,利根川 / basin 470,all_land_use,He->Me,6,drop,0,1,0
unit_basin,B_830303_470,利根川 / basin 470,all_land_use,He->Me,6,new,1,1,1
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,He->Me,6,continue,0,3,0
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,He->Me,6,drop,3,3,1
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,He->Me,6,new,0,3,0
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Jo->Ya,2,continue,1,1,1
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Jo->Ya,2,drop,0,1,0
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Jo->Ya,2,new,0,1,0
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Ko->Na,4,continue,3,10,0.3
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Ko->Na,4,drop,7,10,0.7
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Ko->Na,4,new,0,10,0
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Na->He,5,continue,3,3,1
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Na->He,5,drop,0,3,0
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Na->He,5,new,0,3,0
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Pa->Jo,1,continue,0,1,0
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Pa->Jo,1,drop,0,1,0
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Pa->Jo,1,new,1,1,1
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Ya->Ko,3,continue,1,10,0.1
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Ya->Ko,3,drop,0,10,0
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Ya->Ko,3,new,9,10,0.9
unit_basin,B_830303_517,利根川 / basin 517,all_land_use,He->Me,6,continue,3,6,0.5
unit_basin,B_830303_517,利根川 / basin 517,all_land_use,He->Me,6,drop,1,6,0.16666666666666666
unit_basin,B_830303_517,利根川 / basin 517,all_land_use,He->Me,6,new,2,6,0.3333333333333333
unit_basin,B_830303_517,利根川 / basin 517,all_land_use,Jo->Ya,2,continue,0,1,0
unit_basin,B_830303_517,利根川 / basin 517,all_land_use,Jo->Ya,2,drop,1,1,1
unit_basin,B_830303_517,利根川 / basin 517,all_land_use,Jo->Ya,2,new,0,1,0
unit_basin,B_830303_517,利根川 / basin 517,all_land_use,Ko->Na,4,continue,4,9,0.4444444444444444
