scheme,group_id,group_label,activity_domain,phase_code,phase_order,n_places,presence_rate
unit_basin,B_830304_158,荒川 / basin 158,all_land_use,Na,5,2,0
unit_basin,B_830304_158,荒川 / basin 158,all_land_use,Pa,1,2,0
unit_basin,B_830304_158,荒川 / basin 158,all_land_use,Ya,3,2,0
unit_basin,B_830304_16,荒川 / basin 16,all_land_use,He,6,14,0.5
unit_basin,B_830304_16,荒川 / basin 16,all_land_use,Jo,2,14,0.42857142857142855
unit_basin,B_830304_16,荒川 / basin 16,all_land_use,Ko,4,14,0.5714285714285714
unit_basin,B_830304_16,荒川 / basin 16,all_land_use,Me,7,14,0.2857142857142857
unit_basin,B_830304_16,荒川 / basin 16,all_land_use,Na,5,14,0.5
unit_basin,B_830304_16,荒川 / basin 16,all_land_use,Pa,1,14,0.07142857142857142
unit_basin,B_830304_16,荒川 / basin 16,all_land_use,Ya,3,14,0.42857142857142855
unit_basin,B_830304_161,荒川 / basin 161,all_land_use,He,6,3,0.6666666666666666
unit_basin,B_830304_161,荒川 / basin 161,all_land_use,Jo,2,3,1
unit_basin,B_830304_161,荒川 / basin 161,all_land_use,Ko,4,3,0
unit_basin,B_830304_161,荒川 / basin 161,all_land_use,Me,7,3,0.3333333333333333
unit_basin,B_830304_161,荒川 / basin 161,all_land_use,Na,5,3,0.3333333333333333
unit_basin,B_830304_161,荒川 / basin 161,all_land_use,Pa,1,3,0.3333333333333333
unit_basin,B_830304_161,荒川 / basin 161,all_land_use,Ya,3,3,0
unit_basin,B_830304_167,荒川 / basin 167,all_land_use,He,6,4,0
unit_basin,B_830304_167,荒川 / basin 167,all_land_use,Jo,2,4,0.75
unit_basin,B_830304_167,荒川 / basin 167,all_land_use,Ko,4,4,0
unit_basin,B_830304_167,荒川 / basin 167,all_land_use,Me,7,4,0.25
unit_basin,B_830304_167,荒川 / basin 167,all_land_use,Na,5,4,0
unit_basin,B_830304_167,荒川 / basin 167,all_land_use,Pa,1,4,0
unit_basin,B_830304_167,荒川 / basin 167,all_land_use,Ya,3,4,0
unit_basin,B_830304_18,荒川 / basin 18,all_land_use,He,6,1,0
unit_basin,B_830304_18,荒川 / basin 18,all_land_use,Jo,2,1,0
unit_basin,B_830304_18,荒川 / basin 18,all_land_use,Ko,4,1,0
unit_basin,B_830304_18,荒川 / basin 18,all_land_use,Me,7,1,0
unit_basin,B_830304_18,荒川 / basin 18,all_land_use,Na,5,1,0
unit_basin,B_830304_18,荒川 / basin 18,all_land_use,Pa,1,1,0
unit_basin,B_830304_18,荒川 / basin 18,all_land_use,Ya,3,1,1
unit_basin,B_830304_194,荒川 / basin 194,all_land_use,He,6,7,0.42857142857142855
unit_basin,B_830304_194,荒川 / basin 194,all_land_use,Jo,2,7,0.8571428571428571
unit_basin,B_830304_194,荒川 / basin 194,all_land_use,Ko,4,7,0
unit_basin,B_830304_194,荒川 / basin 194,all_land_use,Me,7,7,0
unit_basin,B_830304_194,荒川 / basin 194,all_land_use,Na,5,7,0.42857142857142855
unit_basin,B_830304_194,荒川 / basin 194,all_land_use,Pa,1,7,0
unit_basin,B_830304_194,荒川 / basin 194,all_land_use,Ya,3,7,0
unit_basin,B_830304_25,荒川 / basin 25,all_land_use,He,6,35,0.5714285714285714
unit_basin,B_830304_25,荒川 / basin 25,all_land_use,Jo,2,35,0.3142857142857143
unit_basin,B_830304_25,荒川 / basin 25,all_land_use,Ko,4,35,0.5142857142857142
unit_basin,B_830304_25,荒川 / basin 25,all_land_use,Me,7,35,0.4
unit_basin,B_830304_25,荒川 / basin 25,all_land_use,Na,5,35,0.6
unit_basin,B_830304_25,荒川 / basin 25,all_land_use,Pa,1,35,0.02857142857142857
unit_basin,B_830304_25,荒川 / basin 25,all_land_use,Ya,3,35,0.14285714285714285
unit_basin,B_830304_26,荒川 / basin 26,all_land_use,He,6,44,0.11363636363636363
unit_basin,B_830304_26,荒川 / basin 26,all_land_use,Jo,2,44,0.6136363636363636
unit_basin,B_830304_26,荒川 / basin 26,all_land_use,Ko,4,44,0.4318181818181818
unit_basin,B_830304_26,荒川 / basin 26,all_land_use,Me,7,44,0.13636363636363635
unit_basin,B_830304_26,荒川 / basin 26,all_land_use,Na,5,44,0.13636363636363635
unit_basin,B_830304_26,荒川 / basin 26,all_land_use,Pa,1,44,0.25
unit_basin,B_830304_26,荒川 / basin 26,all_land_use,Ya,3,44,0.3409090909090909
unit_basin,B_830304_27,荒川 / basin 27,all_land_use,He,6,24,0.4166666666666667
unit_basin,B_830304_27,荒川 / basin 27,all_land_use,Jo,2,24,0.5
unit_basin,B_830304_27,荒川 / basin 27,all_land_use,Ko,4,24,0.625
unit_basin,B_830304_27,荒川 / basin 27,all_land_use,Me,7,24,0.2916666666666667
unit_basin,B_830304_27,荒川 / basin 27,all_land_use,Na,5,24,0.4583333333333333
unit_basin,B_830304_27,荒川 / basin 27,all_land_use,Pa,1,24,0.16666666666666666
unit_basin,B_830304_27,荒川 / basin 27,all_land_use,Ya,3,24,0.4583333333333333
unit_basin,B_830304_36,荒川 / basin 36,all_land_use,He,6,2,0.5
unit_basin,B_830304_36,荒川 / basin 36,all_land_use,Jo,2,2,0.5
unit_basin,B_830304_36,荒川 / basin 36,all_land_use,Ko,4,2,0.5
unit_basin,B_830304_36,荒川 / basin 36,all_land_use,Me,7,2,1
unit_basin,B_830304_36,荒川 / basin 36,all_land_use,Na,5,2,0.5
unit_basin,B_830304_36,荒川 / basin 36,all_land_use,Pa,1,2,0
unit_basin,B_830304_36,荒川 / basin 36,all_land_use,Ya,3,2,0.5
unit_basin,B_830304_37,荒川 / basin 37,all_land_use,He,6,33,0.06060606060606061
unit_basin,B_830304_37,荒川 / basin 37,all_land_use,Jo,2,33,0.6666666666666666
unit_basin,B_830304_37,荒川 / basin 37,all_land_use,Ko,4,33,0.21212121212121213
unit_basin,B_830304_37,荒川 / basin 37,all_land_use,Me,7,33,0.18181818181818182
unit_basin,B_830304_37,荒川 / basin 37,all_land_use,Na,5,33,0.06060606060606061
unit_basin,B_830304_37,荒川 / basin 37,all_land_use,Pa,1,33,0.09090909090909091
unit_basin,B_830304_37,荒川 / basin 37,all_land_use,Ya,3,33,0.21212121212121213
unit_basin,B_830304_38,荒川 / basin 38,all_land_use,He,6,27,0.18518518518518517
unit_basin,B_830304_38,荒川 / basin 38,all_land_use,Jo,2,27,0.5185185185185185
unit_basin,B_830304_38,荒川 / basin 38,all_land_use,Ko,4,27,0.18518518518518517
unit_basin,B_830304_38,荒川 / basin 38,all_land_use,Me,7,27,0.25925925925925924
unit_basin,B_830304_38,荒川 / basin 38,all_land_use,Na,5,27,0.1111111111111111
unit_basin,B_830304_38,荒川 / basin 38,all_land_use,Pa,1,27,0.037037037037037035
unit_basin,B_830304_38,荒川 / basin 38,all_land_use,Ya,3,27,0.3333333333333333
unit_basin,B_830304_39,荒川 / basin 39,all_land_use,He,6,21,0.2857142857142857
unit_basin,B_830304_39,荒川 / basin 39,all_land_use,Jo,2,21,0.8095238095238095
unit_basin,B_830304_39,荒川 / basin 39,all_land_use,Ko,4,21,0.23809523809523808
unit_basin,B_830304_39,荒川 / basin 39,all_land_use,Me,7,21,0.09523809523809523
unit_basin,B_830304_39,荒川 / basin 39,all_land_use,Na,5,21,0.23809523809523808
unit_basin,B_830304_39,荒川 / basin 39,all_land_use,Pa,1,21,0.2857142857142857
unit_basin,B_830304_39,荒川 / basin 39,all_land_use,Ya,3,21,0.19047619047619047
unit_basin,B_830304_40,荒川 / basin 40,all_land_use,He,6,25,0.04
unit_basin,B_830304_40,荒川 / basin 40,all_land_use,Jo,2,25,0.92
unit_basin,B_830304_40,荒川 / basin 40,all_land_use,Ko,4,25,0.12
unit_basin,B_830304_40,荒川 / basin 40,all_land_use,Me,7,25,0
unit_basin,B_830304_40,荒川 / basin 40,all_land_use,Na,5,25,0.04
unit_basin,B_830304_40,荒川 / basin 40,all_land_use,Pa,1,25,0.16
unit_basin,B_830304_40,荒川 / basin 40,all_land_use,Ya,3,25,0.08
unit_basin,B_830304_42,荒川 / basin 42,all_land_use,He,6,31,0.22580645161290322
unit_basin,B_830304_42,荒川 / basin 42,all_land_use,Jo,2,31,0.6129032258064516
unit_basin,B_830304_42,荒川 / basin 42,all_land_use,Ko,4,31,0.4838709677419355
unit_basin,B_830304_42,荒川 / basin 42,all_land_use,Me,7,31,0.03225806451612903
unit_basin,B_830304_42,荒川 / basin 42,all_land_use,Na,5,31,0.1935483870967742
unit_basin,B_830304_42,荒川 / basin 42,all_land_use,Pa,1,31,0.12903225806451613
unit_basin,B_830304_42,荒川 / basin 42,all_land_use,Ya,3,31,0.4838709677419355
unit_basin,B_830304_44,荒川 / basin 44,all_land_use,He,6,1,1
unit_basin,B_830304_44,荒川 / basin 44,all_land_use,Jo,2,1,1
unit_basin,B_830304_44,荒川 / basin 44,all_land_use,Ko,4,1,1
unit_basin,B_830304_44,荒川 / basin 44,all_land_use,Me,7,1,1
unit_basin,B_830304_44,荒川 / basin 44,all_land_use,Na,5,1,0
unit_basin,B_830304_44,荒川 / basin 44,all_land_use,Pa,1,1,0
unit_basin,B_830304_44,荒川 / basin 44,all_land_use,Ya,3,1,1
unit_basin,B_830304_47,荒川 / basin 47,all_land_use,He,6,65,0.2153846153846154
unit_basin,B_830304_47,荒川 / basin 47,all_land_use,Jo,2,65,0.8923076923076924
unit_basin,B_830304_47,荒川 / basin 47,all_land_use,Ko,4,65,0.16923076923076924
unit_basin,B_830304_47,荒川 / basin 47,all_land_use,Me,7,65,0.12307692307692308
unit_basin,B_830304_47,荒川 / basin 47,all_land_use,Na,5,65,0.12307692307692308
unit_basin,B_830304_47,荒川 / basin 47,all_land_use,Pa,1,65,0.5846153846153846
unit_basin,B_830304_47,荒川 / basin 47,all_land_use,Ya,3,65,0.26153846153846155
unit_basin,B_830304_51,荒川 / basin 51,all_land_use,He,6,7,0.5714285714285714
unit_basin,B_830304_51,荒川 / basin 51,all_land_use,Jo,2,7,1
unit_basin,B_830304_51,荒川 / basin 51,all_land_use,Ko,4,7,0.2857142857142857
unit_basin,B_830304_51,荒川 / basin 51,all_land_use,Me,7,7,0.42857142857142855
unit_basin,B_830304_51,荒川 / basin 51,all_land_use,Na,5,7,0.5714285714285714
