scheme,phase_code,phase_order,group_id,group_label,presence_count,phase_known_geo_total,phase_share,baseline_place_count,baseline_total,baseline_share,phase_share_minus_baseline,relative_concentration_ratio,interpretation_class,selection_inference_allowed
unit_basin,Pa,1,B_830305_36,多摩川 / basin 36,5,694,0.007204610951008645,91,5479,0.016608870231794123,-0.009404259280785478,0.4337809164898502,lower_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_27,荒川 / basin 27,4,694,0.005763688760806916,22,5479,0.004015331264829348,0.001748357495977568,1.4354204872936862,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_40,荒川 / basin 40,4,694,0.005763688760806916,24,5479,0.004380361379813835,0.001383327380993081,1.3158021133525455,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_42,荒川 / basin 42,4,694,0.005763688760806916,23,5479,0.004197846322321591,0.0015658424384853249,1.3730109008896128,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_55,荒川 / basin 55,4,694,0.005763688760806916,31,5479,0.005657966782259536,1.0572197854737987e-4,1.0186855071116483,similar_to_archaeological_sample,FALSE
unit_basin,Pa,1,B_830305_12,多摩川 / basin 12,4,694,0.005763688760806916,64,5479,0.011680963679503558,-0.005917274918696642,0.4934257925072046,lower_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830305_27,多摩川 / basin 27,4,694,0.005763688760806916,24,5479,0.004380361379813835,0.001383327380993081,1.3158021133525455,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_140013_19,境川 / basin 19,3,694,0.004322766570605188,22,5479,0.004015331264829348,3.0743530577583954e-4,1.0765653654702647,similar_to_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_37,荒川 / basin 37,3,694,0.004322766570605188,30,5479,0.005475451724767293,-0.0011526851541621055,0.7894812680115275,lower_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_56,荒川 / basin 56,3,694,0.004322766570605188,19,5479,0.003467786092352619,8.549804782525686e-4,1.246549370544517,similar_to_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_87,荒川 / basin 87,3,694,0.004322766570605188,18,5479,0.003285271034860376,0.0010374955357448116,1.3158021133525457,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830305_3,多摩川 / basin 3,3,694,0.004322766570605188,46,5479,0.008395692644643182,-0.004072926074037995,0.5148790878336049,lower_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_130000_1,名称不明 / basin 1,2,694,0.002881844380403458,19,5479,0.003467786092352619,-5.859417119491611e-4,0.8310329136963446,similar_to_archaeological_sample,FALSE
unit_basin,Pa,1,B_130000_2,名称不明 / basin 2,2,694,0.002881844380403458,6,5479,0.0010950903449534588,0.0017867540354499993,2.631604226705091,higher_than_archaeological_sample,FALSE
