"JASID","自治体コード","遺跡番号","種別","緯度","経度","P","J","Y","K","N","H","M","E","D","U"
11347009900,11347,"99","集落跡",36.0461069280021,139.44681937416,0,0,0,0,0,1,1,0,0,0
11347010000,11347,"100","集落跡",36.0478438113335,139.433230710836,0,0,0,0,0,1,1,0,0,0
11347010100,11347,"101","集落跡 その他",36.0477605356356,139.433376623072,0,0,0,1,1,1,1,0,0,0
11347010300,11347,"103","集落跡",36.0467867625826,139.444620038333,0,0,0,0,0,1,1,0,0,0
11347010400,11347,"104","集落跡",36.0526273247201,139.447926910646,0,0,0,0,0,1,1,0,0,0
11347010700,11347,"107","集落跡",36.0698173437527,139.432207015991,0,0,0,1,1,1,1,0,0,0
11347010800,11347,"108","集落跡 その他",36.0392728287287,139.44924107666,0,0,0,1,1,1,1,0,0,0
11347010900,11347,"109","集落跡",36.0373065383231,139.446094315713,0,1,1,1,0,0,1,1,0,0
11347011200,11347,"112","集落跡 その他",36.0451489701789,139.450731181781,0,1,0,1,0,0,1,0,0,0
11347011300,11347,"113","集落跡 経塚 その他",36.0251634727763,139.458829358411,0,0,0,1,1,1,1,0,0,0
11347011400,11347,"114","集落跡",36.0674409461584,139.443379587159,0,0,0,1,1,1,1,0,0,0
11347011500,11347,"115","古墳群 古墳 経塚",36.0577090457104,139.427149513761,0,0,0,1,0,0,1,0,0,0
11347011900,11347,"119","集落跡",36.074897638073,139.442403980033,0,0,0,0,1,1,1,1,0,0
