gsi_landform_class,observed_count,expected_count,selection_ratio,log2_selection_ratio,pearson_residual,monte_carlo_p,monte_carlo_p_bh,expected_status,selection_signal,activity_domain,phase_code,phase_order,n_observed_domain,coverage_threshold
砂州・砂丘,6,4.993773423849845,1.2014962415684503,0.24264230664046027,0.4502786617868386,0.644,0.8196363636363636,low_expected_descriptive_only,no_clear_signal,monument,Ko,4,452,0.95
河川敷・浜,0,0.13398621463992721,0,-0.34252337593972576,-0.3660412745032003,1,1,low_expected_descriptive_only,no_clear_signal,monument,Ko,4,452,0.95
自然堤防,7,6.820545414917782,1.0263108848582283,0.03493945555770754,0.0687139645587369,1,1,eligible,no_clear_signal,monument,Ko,4,452,0.95
台地・段丘,22,12.003260697176385,1.8328353065909184,0.8476206202993408,2.885418070605469,0.0015,0.0195,eligible,overrepresented,monument,Me,7,55,0.95
氾濫平野・海岸平野,4,11.616564625946014,0.3443358797372725,-1.4289838071360366,-2.234705382124253,0.0085,0.03899999999999999,eligible,underrepresented,monument,Me,7,55,0.95
旧水部,0,4.861812346361406,0,-3.4227207285127115,-2.2049517786929957,0.009,0.03899999999999999,low_expected_descriptive_only,no_clear_signal,monument,Me,7,55,0.95
山地斜面等,27,21.16159737676265,1.275896120660931,0.3442919840677332,1.2691700574027849,0.0625,0.203125,eligible,no_clear_signal,monument,Me,7,55,0.95
凹地・浅い谷,0,1.1022601769818188,0,-1.6801084333673382,-1.049885792351634,0.4,1,low_expected_descriptive_only,no_clear_signal,monument,Me,7,55,0.95
水部,0,0.9943096757472708,0,-1.579479158413866,-0.9971507788430348,0.613,1,low_expected_descriptive_only,no_clear_signal,monument,Me,7,55,0.95
山麓堆積地形,0,0.7426752070099666,0,-1.313449274294042,-0.8617860564026123,0.6195,1,low_expected_descriptive_only,no_clear_signal,monument,Me,7,55,0.95
旧河道,0,0.5975253694548415,0,-1.1342542882468978,-0.7729976516489824,0.652,1,low_expected_descriptive_only,no_clear_signal,monument,Me,7,55,0.95
崖・段丘崖,0,0.4020490579735482,0,-0.8512778017535484,-0.6340733853218792,1,1,low_expected_descriptive_only,no_clear_signal,monument,Me,7,55,0.95
砂州・砂丘,1,0.5782122390906339,1.7294687528107677,0.47632130950904394,0.5546899962153649,1,1,low_expected_descriptive_only,no_clear_signal,monument,Me,7,55,0.95
後背低地・湿地,0,0.24163734448504326,0,-0.5687857965233535,-0.4915662157685811,1,1,low_expected_descriptive_only,no_clear_signal,monument,Me,7,55,0.95
自然堤防,1,0.6673390759504447,1.4984886035270293,0.3617388204479547,0.4072194487957002,1,1,low_expected_descriptive_only,no_clear_signal,monument,Me,7,55,0.95
扇状地,0,0.030756807059981142,0,-0.08612287420834501,-0.17537618726606286,1,1,low_expected_descriptive_only,no_clear_signal,monument,Me,7,55,0.95
氾濫平野・海岸平野,3,19.80869041406703,0.15144867920544444,-2.5366703846920022,-3.776643543105884,5e-4,0.0025,eligible,underrepresented,production,He,6,94,0.95
山地斜面等,85,58.889330871734764,1.4433853932749918,0.5257206418504052,3.4025122042557125,5e-4,0.0025,eligible,overrepresented,production,He,6,94,0.95
台地・段丘,4,11.452439700641962,0.34927055758920794,-1.409308220837058,-2.202163011904158,0.015,0.05,eligible,underrepresented,production,He,6,94,0.95
水部,0,0.7176440582547031,0,-1.2840924662172426,-0.8471387479360764,0.632,1,low_expected_descriptive_only,no_clear_signal,production,He,6,94,0.95
旧河道,0,0.6575974204795625,0,-1.211133612171037,-0.810923806827474,0.662,1,low_expected_descriptive_only,no_clear_signal,production,He,6,94,0.95
崖・段丘崖,0,0.4033501018033528,0,-0.8533571311871512,-0.6350984977177577,1,1,low_expected_descriptive_only,no_clear_signal,production,He,6,94,0.95
凹地・浅い谷,0,0.19157496526127263,0,-0.46795755005130035,-0.43769277497038106,1,1,low_expected_descriptive_only,no_clear_signal,production,He,6,94,0.95
自然堤防,0,0.08881945855794343,0,-0.23589725364952366,-0.298025936049102,1,1,low_expected_descriptive_only,no_clear_signal,production,He,6,94,0.95
扇状地,0,0.050233451472062665,0,-0.1381157561550429,-0.22412820320535895,1,1,low_expected_descriptive_only,no_clear_signal,production,He,6,94,0.95
山麓堆積地形,2,1.7403195577273511,1.149214229719834,0.15822356284249336,0.19684516038505778,1,1,low_expected_descriptive_only,no_clear_signal,production,He,6,94,0.95
