gsi_landform_class,observed_count,expected_count,selection_ratio,log2_selection_ratio,pearson_residual,phase_code,phase_order,coverage_threshold
山麓堆積地形,26,28.61092395887412,0.9087438083919586,-0.13556827056915624,-0.48812188750868674,He,6,0.99
崖・段丘崖,15,17.20932857134425,0.8716202923208133,-0.19224129951777527,-0.5325720196897789,He,6,0.9
崖・段丘崖,11,15.835084010844676,0.6946600341663256,-0.5063400133625131,-1.2150491293253367,He,6,0.95
崖・段丘崖,9,13.327083424591914,0.6753165500106852,-0.5414974593624862,-1.1852984327535752,He,6,0.99
後背低地・湿地,8,4.258299157649274,1.8786843535004882,0.8370168633734877,1.813221990174722,He,6,0.9
後背低地・湿地,8,4.258299157649274,1.8786843535004882,0.8370168633734877,1.813221990174722,He,6,0.95
後背低地・湿地,8,4.258299157649274,1.8786843535004882,0.8370168633734877,1.813221990174722,He,6,0.99
扇状地,2,1.3511895170117305,1.4801772621972147,0.433475495055992,0.5581613041103438,He,6,0.9
扇状地,1,1.2434611973314638,0.8042068398644486,-0.21699175496764023,-0.2183301106029866,He,6,0.95
扇状地,0,0.8277050722161313,0,-1.4089347113643584,-0.9097829808345127,He,6,0.99
旧水部,0,17.199443258846475,0,-5.145632075515766,-4.147221149016107,He,6,0.9
旧水部,0,17.199443258846475,0,-5.145632075515766,-4.147221149016107,He,6,0.95
旧水部,0,17.18248108247676,0,-5.144248812730513,-4.14517563952081,He,6,0.99
旧河道,5,23.861143163458593,0.20954570222172317,-2.1470783105434177,-3.8612008073353565,He,6,0.9
旧河道,5,18.267927730323937,0.27370373223560684,-1.7707658393527386,-3.1042626163876617,He,6,0.95
旧河道,4,11.54684561106055,0.34641495476205725,-1.4206585289434732,-2.220924453940021,He,6,0.99
水部,19,32.56520152648989,0.5834448770275414,-0.7618395705946155,-2.3771104707213717,He,6,0.9
水部,19,30.52924522649412,0.6223540693207599,-0.6701544803607296,-2.086617488565779,He,6,0.95
水部,19,27.335315151666855,0.695071554674994,-0.5134422935264358,-1.594263055612762,He,6,0.99
氾濫平野・海岸平野,216,419.48357993151546,0.5149188438681295,-0.9559658990954593,-9.935091857000186,He,6,0.9
氾濫平野・海岸平野,208,403.73923249666467,0.5151840179458367,-0.9551619622477955,-9.741535209062208,He,6,0.95
氾濫平野・海岸平野,157,313.49191760582596,0.5008103596387019,-0.9953755948990415,-8.838503497148269,He,6,0.99
河川敷・浜,0,0.10943896887791921,0,-0.2855536572037615,-0.33081561159945155,He,6,0.9
河川敷・浜,0,0.06994929694596295,0,-0.18890548702472995,-0.26447929398340986,He,6,0.95
