place_id,weight_set,w_presence,w_run,w_gapfree,continuity_index,rank_desc,top_n,top_fraction_flag
13209032100,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209042900,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209045800,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209066900,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209085000,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209085800,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209089200,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209090800,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209092900,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209100400,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13212001400,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13212004600,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13212004700,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13213001900,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13213002900,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13213003300,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13213006300,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13213009500,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13213010400,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13213011200,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13213011600,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13219004000,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13219005000,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13219006500,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13223001300,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13224006100,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13224022100,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13224026100,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13225001300,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13225001800,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13225002100,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13225002900,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13225003500,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13228003400,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13228006800,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13229000700,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13303000200,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13305001000,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13101002200,baseline,0.35,0.4,0.25,0.6452380952380952,327,563,TRUE
13104006800,baseline,0.35,0.4,0.25,0.6452380952380952,327,563,TRUE
13112011200,baseline,0.35,0.4,0.25,0.6452380952380952,327,563,TRUE
13112026500,baseline,0.35,0.4,0.25,0.6452380952380952,327,563,TRUE
13112029600,baseline,0.35,0.4,0.25,0.6452380952380952,327,563,TRUE
13115017600,baseline,0.35,0.4,0.25,0.6452380952380952,327,563,TRUE
13120006400,baseline,0.35,0.4,0.25,0.6452380952380952,327,563,TRUE
13103006400,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13104007700,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13106000801,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13106003900,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13106007200,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13112000100,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13112002300,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13112019000,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
13112032500,baseline,0.35,0.4,0.25,0.5928571428571429,334,563,TRUE
