scheme,group_id,group_label,activity_domain,n_places,median_presence_phase_count,median_longest_run_length,gap_place_rate,median_gap_count,median_continuity_index,median_intermittency_index,analysis_status
watershed_x_landform,B_830304_68_LF_10314,荒川 / basin 68 / 台地・段丘,all_land_use,51,2,1,0.47058823529411764,0,0.19999999999999998,0,eligible
watershed_x_landform,B_830304_80_LF_10314,荒川 / basin 80 / 台地・段丘,all_land_use,51,1,1,0.0392156862745098,0,0.14285714285714285,0,eligible
watershed_x_landform,B_830304_52_LF_2010101,荒川 / basin 52 / 台地・段丘,all_land_use,47,2,1,0.2765957446808511,0,0.21071428571428572,0,eligible
watershed_x_landform,B_unknown_0_LF_1010101,unknown / basin 0 / 山地斜面等,all_land_use,46,1,1,0.021739130434782608,0,0.14285714285714285,0,eligible
watershed_x_landform,B_830305_56_LF_2010101,多摩川 / basin 56 / 台地・段丘,all_land_use,44,1,1,0.022727272727272728,0,0.14285714285714285,0,eligible
watershed_x_landform,B_830304_47_LF_10314,荒川 / basin 47 / 台地・段丘,all_land_use,42,2,2,0.2857142857142857,0,0.2857142857142857,0,eligible
watershed_x_landform,B_830305_28_LF_10101,多摩川 / basin 28 / 山地斜面等,all_land_use,42,2,1.5,0.5238095238095238,1,0.2857142857142857,0.25,eligible
watershed_x_landform,B_830305_35_LF_1010101,多摩川 / basin 35 / 山地斜面等,all_land_use,42,3,1,0.5952380952380952,1,0.2946428571428571,0.25,eligible
watershed_x_landform,B_830305_23_LF_2010101,多摩川 / basin 23 / 台地・段丘,all_land_use,38,2,1,0.4473684210526316,0,0.2017857142857143,0,eligible
watershed_x_landform,B_830304_70_LF_10314,荒川 / basin 70 / 台地・段丘,all_land_use,37,2,1,0.2702702702702703,0,0.21071428571428572,0,eligible
watershed_x_landform,B_830305_23_LF_3030101,多摩川 / basin 23 / 氾濫平野・海岸平野,all_land_use,36,3,2,0.4722222222222222,0,0.3232142857142857,0,eligible
watershed_x_landform,B_830305_33_LF_2010101,多摩川 / basin 33 / 台地・段丘,all_land_use,36,1,1,0.19444444444444445,0,0.14285714285714285,0,eligible
watershed_x_landform,B_830305_18_LF_2010101,多摩川 / basin 18 / 台地・段丘,all_land_use,34,3,2,0.5294117647058824,1,0.35654761904761906,0.18333333333333335,eligible
watershed_x_landform,B_830305_8_LF_2010101,多摩川 / basin 8 / 台地・段丘,all_land_use,34,1,1,0.2647058823529412,0,0.14285714285714285,0,eligible
watershed_x_landform,B_130000_4_LF_2010101,名称不明 / basin 4 / 台地・段丘,all_land_use,33,1,1,0.15151515151515152,0,0.14285714285714285,0,eligible
watershed_x_landform,B_140013_17_LF_10701,境川 / basin 17 / 氾濫平野・海岸平野,all_land_use,33,3,2,0.696969696969697,1,0.3535714285714286,0.3333333333333333,eligible
watershed_x_landform,B_unknown_0_LF_3030101,unknown / basin 0 / 氾濫平野・海岸平野,all_land_use,33,1,1,0.06060606060606061,0,0.14285714285714285,0,eligible
watershed_x_landform,B_830304_55_LF_2010101,荒川 / basin 55 / 台地・段丘,all_land_use,32,3,3,0.125,0,0.42857142857142855,0,eligible
watershed_x_landform,B_830305_22_LF_3030101,多摩川 / basin 22 / 氾濫平野・海岸平野,all_land_use,31,2,2,0.41935483870967744,0,0.2857142857142857,0,eligible
watershed_x_landform,B_830305_2_LF_2010101,多摩川 / basin 2 / 台地・段丘,all_land_use,31,1,1,0.06451612903225806,0,0.14285714285714285,0,eligible
watershed_x_landform,B_830306_20_LF_2010101,鶴見川 / basin 20 / 台地・段丘,all_land_use,31,3,2,0.5806451612903226,1,0.3535714285714286,0.25,eligible
watershed_x_landform,B_830304_54_LF_10101,荒川 / basin 54 / 山地斜面等,all_land_use,30,1,1,0.13333333333333333,0,0.14285714285714285,0,eligible
