JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,LGCCheck,TownCheck,OverallCheck,AddressCandidates,DictionaryCandidates,PointBoundaryLGC,PointBoundaryTown,MatchedAddressCandidate,MatchedBoundaryTown,NormalizedLGC,SourceRowNumber
13219003300,13219,33,しみずづか1ごうこふん,清水塚1号古墳,狛江市 猪方一丁目,[古墳時代],古墳,円墳 [古墳時代]横穴式石室,,139.5814416,35.62960103,Match,Mismatch,TownMismatch,猪方一丁目,猪方一丁目,13219,東和泉二丁目,,,13219,5360
13219004201,13219,42,べんてんいけいせき,弁財天池遺跡,狛江市 中和泉一丁目,[旧石器時代][縄文時代（中期〜後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世],集落,[旧石器時代]ブロック [縄文時代]住居 集石 土坑 [弥生時代][古墳時代]方形周溝墓 [古墳時代][奈良時代]住居 [奈良時代][平安時代]掘立柱建物 [中世][近世]土坑,ナイフ形石器 尖頭器 細石刃 縄文土器 打斧 石鏃 石皿 土製円板 石棒 弥生土器 槍先形鉄製品 鉄釧 銅釧 土師器 須恵器 紡錘車 銀製穂積具,139.575899,35.63310663,Match,Mismatch,TownMismatch,中和泉一丁目,中和泉一丁目,13219,元和泉一丁目,,,13219,5370
13219004202,13219,42,べんてんいけこふん1ごうふん,弁財天池古墳1号墳,狛江市,[古墳時代],古墳,円墳 [古墳時代]周溝,土師器 須恵器 鉄剣 勾玉 石製模造品,139.576929,35.63293921,Match,Unresolved,Unresolved,,,13219,元和泉一丁目,,,13219,5371
13219004203,13219,42,べんてんいけこふん2ごうふん,弁財天池古墳2号墳,狛江市,[古墳時代],古墳,円墳 [古墳時代]周溝,土師器,139.5772551,35.63313454,Match,Unresolved,Unresolved,,,13219,元和泉一丁目,,,13219,5372
13219004204,13219,42,べんてんいけこふん3ごうふん,弁財天池古墳3号墳,狛江市,[古墳時代],古墳,円墳 [古墳時代]周溝,須恵器,139.5774268,35.63281364,Match,Unresolved,Unresolved,,,13219,元和泉一丁目,,,13219,5373
13220000600,13220,6,,東大和市No.6遺跡,東大和市 桜ケ丘二丁目,[縄文時代],包蔵地,,石器,139.4193148,35.73693024,Match,Mismatch,TownMismatch,桜ケ丘二丁目,,13220,桜が丘二丁目,,,13220,5406
13221002100,13221,21,,清瀬市No.21遺跡,清瀬市 野塩三丁目,[縄文時代（中期）][平安時代],包蔵地,,縄文土器　土師器,139.4981591,35.77286678,Match,Mismatch,TownMismatch,野塩三丁目,野塩三丁目,13221,梅園三丁目,,,13221,5497
13221005900,13221,59,,清瀬市No.59遺跡,清瀬市 下宿三丁目,[平安時代],包蔵地,,土師器　須恵器,139.5400028,35.79842684,Match,Mismatch,TownMismatch,下宿三丁目,下宿三丁目,13221,旭が丘三丁目,,,13221,5535
13221006000,13221,60,,清瀬市No.60遺跡,清瀬市 下宿三丁目,[平安時代],包蔵地,,土師器,139.5423717,35.80154556,Match,Mismatch,TownMismatch,下宿三丁目,下宿三丁目,13221,旭が丘六丁目,,,13221,5536
13221006100,13221,61,,清瀬市No.61遺跡,清瀬市 下宿三丁目,[平安時代],包蔵地,,須恵器,139.5444316,35.80321625,Match,Mismatch,TownMismatch,下宿三丁目,下宿三丁目,13221,旭が丘六丁目,,,13221,5537
13221006200,13221,62,したじゅくこわしみずいせき,下宿強清水遺跡,清瀬市 旭ヶ丘六丁目　 下宿三丁目,[旧石器時代][縄文時代（早期〜中期・晩期）][中世],集落・城館？,[旧石器時代]礫群　[縄文時代]住居　炉穴　土坑　[中世]溝,ナイフ形石器　尖頭器　石刃　掻器　彫器　錐　石核　縄文土器　石鏃　石皿,139.5468006,35.80226953,Match,Mismatch,TownMismatch,旭ヶ丘六丁目｜下宿三丁目,下宿三丁目,13221,旭が丘六丁目,,,13221,5538
13222009100,13222,91,しんばしいせき,新橋遺跡,東久留米市 新川町二丁目,[縄文時代（前期）],集落,[縄文時代]住居土坑,縄文土器　打斧　石匙　磨石,139.5387818,35.76258438,Match,Mismatch,TownMismatch,新川町二丁目,新川町二丁目,13222,大門町一丁目,,,13222,5644
