JASID,LGC,市町村番号,遺跡番号,遺跡名,種別,備考,旧石器,,縄文,弥生,古墳,奈良,平安,鎌倉,南北朝,室町,戦国,江戸,近代,不明,経度,緯度
11341011000,11341,39,110,谷在家遺跡,集落跡,,,,,,,1,1,,,,,,,,139.35343460214800,36.09225770651660
11341013400,11341,39,134,西浦遺跡,集落跡,,,,1,,1,,,,,,,,,,139.32258761889400,36.089632035715700
11341035300,11341,39,353,八垣遺跡,集落跡,,,,,,1,,,,,,,,,,139.3254371981440,36.08990947313810
11341013000,11341,39,130,猫沼北遺跡,集落跡,,,,,,1,,,,,,,,,,139.3250886203930,36.09488700234710
11341013200,11341,39,132,西富士塚遺跡,集落跡,,,,,,1,,,,,,,,,,139.32628672732200,36.09480236266480
11341013300,11341,39,133,富士塚遺跡,集落跡,,,,,,,1,1,,,,,,,,139.3290075129320,36.094958947340500
11341012900,11341,39,129,大入沼南遺跡,古墳群,,,,,,1,,,,,,,,,,139.32560360452300,36.09641279402890
11341000100,11341,39,1,南柿町遺跡,城跡,,,,,,1,,1,,,,,,,,139.3451239078330,36.10216161910940
11341000300,11341,39,3,三軒新田古墳,,,,,,,1,,1,,,,,,,,139.34733674866700,36.10069141747310
11341013100,11341,39,131,丸山遺跡,集落跡,,,,,,1,,,,,,,,,,139.32437270270700,36.094376082245800
11341014000,11341,39,140,向船川遺跡,集落跡,,,,,,,,1,,,,,,,,139.3341230211790,36.087634742245300
11341013800,11341,39,138,堀込遺跡,古墳,,,,,,1,,,,,,,,,,139.32979715500400,36.0883560948829
11341036600,11341,39,366,高原遺跡,古墳,,,,,,1,,,,,,,,,,139.33329928973200,36.08877197284840
11341013900,11341,39,139,松原古墳群,古墳群 古墳,,,,,,1,,,,,,,,,,139.3294540746270,36.08857776479180
11341035400,11341,39,354,向II遺跡,その他,,,,,,,,,,,,,,,1,139.33790086838400,36.08799960071560
11341013600,11341,39,136,三門館跡,その他,,,,,,,,,,,,,,,,139.32550586230200,36.0885222762339
11341014500,11341,39,145,船川西遺跡,集落跡 古墳,,,,,1,1,,,,,,,,,,139.328537,36.08886000000000
11341013700,11341,39,137,吾兵沼南遺跡,古墳,,,,,,1,,,,,,,,,,139.32886517265000,36.088887579917100
11341013500,11341,39,135,西浦II遺跡,集落跡,,,,,,1,,,,,,,,,,139.32327426440200,36.089410085284500
