"JASID","自治体コード","区市町村名","遺跡番号","遺跡名","種別","緯度","経度","P","J","Y","K","N","H","M","E","D","U"
11348019900,11348,"鳩山町","199","南櫛気田B遺跡","窯跡",35.9766132461517,139.313731889434,0,0,0,0,0,0,0,1,NA,0
11348020000,11348,"鳩山町","200","南櫛気田C遺跡","窯跡",35.9779468499211,139.313800553919,0,0,0,0,0,0,0,1,NA,0
11348020100,11348,"鳩山町","201","北櫛気田遺跡","集落跡 窯跡",35.9791571653049,139.312673001745,0,1,0,0,0,0,0,1,NA,0
11348020200,11348,"鳩山町","202","石場A遺跡","窯跡",35.977085567702,139.312495927716,0,0,0,0,0,0,0,1,NA,0
11348020300,11348,"鳩山町","203","石場B遺跡","窯跡",35.9778921946202,139.312893962982,0,0,0,0,0,0,0,1,NA,0
11348020400,11348,"鳩山町","204","南立野遺跡","窯跡",35.9803594642098,139.312648715664,0,0,0,0,0,0,0,1,NA,0
11348020500,11348,"鳩山町","205","北立野遺跡","窯跡",35.9819566436404,139.312387428504,0,0,0,0,0,0,0,1,NA,0
11348021400,11348,"鳩山町","214","宿遺跡","集落跡",35.9681875024937,139.342804652733,0,0,0,0,0,0,1,1,NA,0
11348021700,11348,"鳩山町","217","熊井焼跡","窯跡",35.9866262377746,139.31242171096,0,0,0,0,0,0,0,1,NA,0
11348021800,11348,"鳩山町","218","宿南遺跡","集落跡",35.9677429182729,139.34222100248,0,1,0,1,1,1,1,1,NA,0
11349411100,11349,"ときがわ町","41-011","玉川陣屋跡","",36.0124856440286,139.293719380392,0,1,0,0,0,1,1,1,NA,0
11349413700,11349,"ときがわ町","41-037","仲井塚群","",36.0152887895208,139.269169224591,0,0,0,0,0,0,0,1,NA,0
