"JASID","LGC","Admin_no","Site_no","SiteName","SiteType","Note","P","J","Y","K","N","H","Ka","Na","Mu","Se","E","D","U","Lon","Lat"
11341020300,11341,39,203,"大谷VI遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3632838,36.06021531
11341036300,11341,39,363,"大道古墳","古墳","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3647889,36.06063319
11341020000,11341,39,200,"大谷III遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.361287,36.0606887
11341032100,11341,39,321,"寺谷遺跡","集落跡","",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3594223,36.05706376
11341024700,11341,39,247,"東平I遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3544098,36.05265055
11341032500,11341,39,325,"堀ノ内III遺跡","城跡","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,139.3650059,36.0579018
11341035000,11341,39,350,"灯篭沼南遺跡","窯跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3596626,36.05495433
11341034100,11341,39,341,"山屋敷III遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3701557,36.05040759
11341034500,11341,39,345,"表古墳2","古墳","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3640623,36.05397749
11341024300,11341,39,243,"西平中遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3528992,36.05403838
11341034900,11341,39,349,"寺谷南遺跡","集落跡","",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.3606114,36.05421029
11341020500,11341,39,205,"大道II遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3661749,36.06066505
11341032600,11341,39,326,"一天具遺跡","集落跡","",NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,139.3676521,36.05765998
11341033900,11341,39,339,"一天具III遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.367988,36.05462582
11341034000,11341,39,340,"山屋敷南II遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3699066,36.0510402
11341034300,11341,39,343,"東表遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3662081,36.05315909
11341024400,11341,39,244,"西平前遺跡","集落跡","",NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.3498654,36.05373844
11341033800,11341,39,338,"一天具II遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3674476,36.05550713
11341007300,11341,39,73,"清水遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3770004,36.04768192
11341025500,11341,39,255,"平谷古墳","古墳群","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3549934,36.05562047
11341028100,11341,39,281,"溝半田遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3593067,36.04849229
11341028400,11341,39,284,"川向遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3629425,36.04824009
11341034700,11341,39,347,"表前遺跡","集落跡","",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,139.3638069,36.05166465
11341034600,11341,39,346,"西表遺跡","集落跡","",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,139.362723,36.052622
11341028500,11341,39,285,"新道下遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3645378,36.04770967
11341034400,11341,39,344,"表古墳1","古墳","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3651,36.05434326
11341034800,11341,39,348,"表遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3626629,36.05487027
11341032400,11341,39,324,"堀ノ内II遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3648308,36.05659492
11341032300,11341,39,323,"堀ノ内I遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3631354,36.05666981
11341000900,11341,39,9,"蟹沢遺跡","散布地","",NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,139.3571041,36.09967289
11341000800,11341,39,8,"岩井口北遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3552334,36.09991807
11341010300,11341,39,103,"天神前古墳群","集落跡 古墳群 古墳","",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.3603853,36.09600799
11341025100,11341,39,251,"蟹沢古墳群","古墳群","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3583346,36.0972893
11341024000,11341,39,240,"天神山横穴墓群","横穴","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3582502,36.09643853
11341010000,11341,39,100,"中在家裡古墳群","散布地","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.357051,36.09768084
11341010400,11341,39,104,"中在家裡遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3559867,36.09612734
11341010100,11341,39,101,"南薬王子I遺跡","散布地","",NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,139.3594365,36.09783416
11341009900,11341,39,99,"山中II遺跡","散布地","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3550287,36.09795008
11341010200,11341,39,102,"南薬王子II遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3599515,36.09858316
