JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13113003100,13113,31,,渋谷区No.31遺跡,渋谷区 松濤二丁目,[古墳時代][奈良時代],横穴墓,,,139.6896326,35.66033388,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13113003300,13113,33,,渋谷区No.33遺跡,渋谷区 松濤二丁目,[縄文時代（中期）],包蔵地,[縄文時代]小竪穴,縄文土器　打斧,139.689774,35.659973,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113003400,13113,34,,渋谷区No.34遺跡,渋谷区 円山町,[時代不明],社寺,,人骨,139.6953318,35.65787912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13113003500,13113,35,まるやまちょういせき,円山町遺跡,渋谷区 円山町,[古墳時代],集落,[古墳時代]住居,土師器　軽石,139.6944735,35.65648434,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113003600,13113,36,,渋谷区No.36遺跡,渋谷区 道玄坂一丁目,[古墳時代][奈良時代],横穴墓,,,139.699865,35.65712594,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13113003800,13113,38,,渋谷区No.38遺跡,渋谷区 道玄坂一丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.6968781,35.65743279,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113003900,13113,39,,渋谷区No.39遺跡,渋谷区 桜丘町,[旧石器時代][縄文時代（中期）],包蔵地,,礫　縄文土器　打斧　磨斧　石鏃　石槌　石皿　凹石,139.6980297,35.65605875,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113004000,13113,40,,渋谷区No.40遺跡,渋谷区 道玄坂二丁目,[古墳時代][奈良時代],横穴墓,,,139.6964661,35.65983177,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13113004100,13113,41,,渋谷区No.41遺跡,渋谷区 桜丘町,[古墳時代][奈良時代],横穴墓,,,139.7021496,35.65614244,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13113004200,13113,42,,渋谷区No.42遺跡,渋谷区 桜丘町,[縄文時代（中期）][弥生時代],包蔵地,,縄文土器　打斧　石皿　弥生土器,139.7007763,35.65499869,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113004400,13113,44,,渋谷区No.44遺跡,渋谷区 鉢山町,[縄文時代（中期）],包蔵地,,縄文土器,139.699453,35.65149082,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113004500,13113,45,,渋谷区No.45遺跡,渋谷区 鶯谷町,[古墳時代][奈良時代],横穴墓,,,139.7039349,35.65424548,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13113004600,13113,46,うぐいすだにいせき,鶯谷遺跡,渋谷区 鶯谷町,[縄文時代（中期〜後期）],集落,[縄文時代]住居,縄文土器　打斧　磨斧　石鏃　石匙　石錘　石皿　凹石　敲石　土錘　石棒,139.7020809,35.65307382,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113004700,13113,47,,渋谷区No.47遺跡,渋谷区 鶯谷町,[古墳時代][奈良時代],横穴墓,,,139.7025616,35.65251587,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
