fid,JASID,SiteName,Lon,Lat,P,J,Y,K,N,H,M,Alt,属性1
"139","11202506200",塩新田遺跡,139.3155294,36.09821857,"1","0","1","0","0","0","0",59.5999984741211,丘陵地
"140","11202506300",諸ヶ谷遺跡,139.3195675,36.0969774,"0","0","0","0","0","0","0",68.8000030517578,丘陵地
"141","11202506400",塩丸山遺跡,139.3226848,36.10047805,"1","0","1","1","1","1","1",77.1999969482422,ローム台地
"142","11202506500",栗崎遺跡,139.3212054,36.0934766,"0","0","1","0","0","0","0",80,丘陵地
"143","11202506600",神田遺跡,139.3235302,36.09599549,"1","0","1","0","0","0","0",74.1999969482422,丘陵地
"144","11202506700",船川遺跡,139.3271229,36.10359435,"1","0","1","0","0","0","0",63.7999992370605,ローム台地
"145","11202506800",新山遺跡,139.3271229,36.1011184,"1","0","1","0","0","0","1",81.1999969482422,ローム台地
"146","11202506900",内神遺跡,139.3307157,36.10312478,"0","0","1","0","0","0","0",59.9000015258789,ローム台地
"147","11202507000",西古墳群,139.3307157,36.1018868,"0","0","1","0","0","0","0",75.3000030517578,ローム台地
"148","11202507100",諏訪木遺跡,139.3302825,36.09851079,"0","0","1","1","1","0","0",80.0999984741211,丘陵地
"149","11202507200",漆畑遺跡,139.3402834,36.10141172,"1","0","1","0","0","0","0",57.2000007629395,ローム台地
"150","11202507300",石橋山遺跡,139.3435063,36.1002591,"1","0","1","0","0","0","0",70,ローム台地
"151","11202507400",高根横穴墓群,139.3403891,36.09603268,"0","0","1","0","0","0","0",69.9000015258789,丘陵地
"152","11202507500",観音岩遺跡,139.3402834,36.09500806,"0","0","0","0","0","0","1",100.5,丘陵地
"153","11202507600",前谷遺跡,139.3380643,36.09539229,"0","0","0","0","0","0","1",72.1999969482422,丘陵地
"154","11202507700",日向遺跡,139.3384342,36.09291608,"0","0","0","0","0","0","0",68.1999969482422,丘陵地
"155","11202507800",唐人山遺跡,139.3383813,36.08954318,"1","0","1","0","0","0","0",68.8000030517578,丘陵地
"156","11202507900",小堤遺跡,139.333045,36.09214758,"1","0","0","0","0","0","0",58.9000015258789,丘陵地
"157","11202508000",片尻山遺跡,139.3353169,36.0947519,"0","0","0","0","0","0","1",75.4000015258789,丘陵地
"158","11202508100",釜場遺跡,139.333664,36.09851079,"0","0","1","0","0","1","1",71.3000030517578,丘陵地
"159","11202508200",富士塚遺跡,139.3299806,36.0984661,"0","0","0","0","0","0","1",80,丘陵地
"160","11202508300",山神遺跡,139.3164288,36.11902293,"0","0","0","0","0","1","1",68.5,ローム台地
"161","11202508400",北方遺跡,139.3200481,36.12288898,"1","0","1","0","0","0","0",61.5999984741211,ローム台地
"162","11202508500",千代西原遺跡,139.3151364,36.12398003,"1","0","0","1","1","1","1",68.8000030517578,ローム台地
