JASID,LGC,Site_no,SiteName,Address,Chronology,Lat,Lon,P,J,Y,K,N,H,M,E,D,U
14134011400,14134,高津区No.114,末長久保台古墳群,高津区末長2-25,縄文　古墳,35.5931533,139.6115231,0,1,0,1,0,0,0,0,0,0
14134011500,14134,高津区No.115,子母口富士見台遺跡,高津区子母口54-2,弥生,35.57459909,139.6254713,0,0,1,0,0,0,0,0,0,0
14134011600,14134,高津区No.116,久末表耕地遺跡,高津区久末2035ほか,中世　近世,35.56906605,139.6233629,0,0,0,0,0,0,1,1,0,0
14134011700,14134,高津区No.117,蟹ヶ谷西田原横穴墓群,高津区蟹ヶ谷209,古墳,35.56489095,139.6304697,0,0,0,1,0,0,0,0,0,0
14134011800,14134,高津区No.118,,高津区新作3-10-5ほか,古墳,35.586277,139.614166,0,0,0,1,0,0,0,0,0,0
14134011900,14134,高津区No.119,末長向台１号墳,高津区末長1-41,古墳,35.59109329,139.6053957,0,0,0,1,0,0,0,0,0,0
14134012000,14134,高津区No.120,板碑,高津区北見方2-1,中世,35.59983925,139.6308535,0,0,0,0,0,0,1,0,0,0
14134012100,14134,高津区No.121,久本山古墳,高津区久本1-16,古墳,35.59630795,139.611818,0,0,0,1,0,0,0,0,0,0
14134012200,14134,高津区No.122,末長久保台古墳群,高津区久本2-12,古墳,35.59305853,139.6122249,0,0,0,1,0,0,0,0,0,0
14134012300,14134,高津区No.123,新作キシ遺跡,高津区新作2-11,中世　近世,35.583717,139.616302,0,0,0,0,0,0,1,1,0,0
14134012400,14134,高津区No.124,,高津区千年1123,縄文　古墳　奈良　平安,35.58065149,139.6211862,0,1,0,1,1,1,0,0,0,0
14134012500,14134,高津区No.125,,高津区梶ヶ谷5-10,縄文　古墳　奈良　平安,35.584248,139.606628,0,1,0,1,1,1,0,0,0,0
14134012600,14134,高津区No.126,岩川不動尊跡出土板碑,高津区千年463付近,中世,35.57855117,139.6235788,0,0,0,0,0,0,1,0,0,0
14134012700,14134,高津区No.127,,高津区久末1694ほか,古墳,35.56639904,139.6232428,0,0,0,1,0,0,0,0,0,0
14134012800,14134,高津区No.128,津田山久地横穴墓,高津区久地1-28,古墳,35.60579244,139.6049525,0,0,0,1,0,0,0,0,0,0
14134012900,14134,高津区No.129,津田山横穴墓群,高津区下作延7-12,古墳,35.60419826,139.6032865,0,0,0,1,0,0,0,0,0,0
14134013000,14134,高津区No.130,緑ヶ丘霊園内遺跡,高津区下作延2118,古墳,35.60631037,139.5915913,0,0,0,1,0,0,0,0,0,0
14134013100,14134,高津区No.131,清水谷古墳(２号墳）,高津区梶ヶ谷2-1,古墳,35.5907997,139.6038778,0,0,0,1,0,0,0,0,0,0
14134013200,14134,高津区No.132,,高津区新作1-22,奈良　平安,35.58810263,139.6080199,0,0,0,0,1,1,0,0,0,0
14134013300,14134,高津区No.133,,高津区梶ヶ谷6-3,奈良　平安,35.58445457,139.6086377,0,0,0,0,1,1,0,0,0,0
14134013400,14134,高津区No.134,,高津区久末496ほか,縄文,35.56418063,139.6179768,0,1,0,0,0,0,0,0,0,0
14134013500,14134,高津区No.135,蟹ヶ谷四方之嶺横穴墓,高津区蟹ヶ谷277-1,古墳,35.56597863,139.6314733,0,0,0,1,0,0,0,0,0,0
14134013600,14134,高津区No.136,末長向台２号墳,高津区末長1-37,古墳,35.58932197,139.6077411,0,0,0,1,0,0,0,0,0,0
14134013700,14134,高津区No.137,末長向台３号墳,高津区末長1-43,古墳,35.59085598,139.6062969,0,0,0,1,0,0,0,0,0,0
14134013800,14134,高津区No.138,,高津区北野川6ほか,古墳　奈良　平安,35.57889084,139.6216187,0,0,0,1,1,1,0,0,0,0
14134013900,14134,高津区No.139,久地西前田耕地横穴墓群,高津区久地1-1,古墳,35.60492425,139.6069956,0,0,0,1,0,0,0,0,0,0
14134014000,14134,高津区No.140,緑ヶ丘霊園内南横穴古墳,高津区上作延76-1,古墳,35.60160682,139.590012,0,0,0,1,0,0,0,0,0,0
14134014100,14134,高津区No.141,,高津区上作延88,古墳,35.60145329,139.5909218,0,0,0,1,0,0,0,0,0,0
14134014200,14134,高津区No.142,,高津区宮崎6-3,縄文,35.59340514,139.592177,0,1,0,0,0,0,0,0,0,0
14134014300,14134,高津区No.143,末長向台４号墳,高津区末長1-38,古墳,35.59054887,139.6079277,0,0,0,1,0,0,0,0,0,0
14134014400,14134,高津区No.144,末長向台５号墳,高津区末長1-38,古墳,35.59067451,139.6071209,0,0,0,1,0,0,0,0,0,0
