"JASID","自治体コード","遺跡番号","遺跡名","種類","所在地","時代","旧市番号","地図","経度","緯度","平安"
14137000500,14137,"麻生区No.5","細山遺跡","散布地","川崎市麻生区千代ヶ丘9-11ほか","弥生　奈良　平安","細山-13",74,139.5088,35.61886,1
14137000600,14137,"麻生区No.6","","散布地","川崎市麻生区細山4-22ほか","縄文　奈良　平安","細山-9",74,139.5117,35.61886,1
14137000900,14137,"麻生区No.9","","散布地","川崎市麻生区細山1-10ほか","縄文　奈良　平安","細山-4",74,139.5182,35.61974,1
14137001000,14137,"麻生区No.10","","散布地","川崎市麻生区多摩美2-12ほか","縄文　奈良　平安","細山-2",74,139.5209,35.61988,1
14137001200,14137,"麻生区No.12","香林寺北遺跡","散布地","川崎市麻生区細山3-8ほか","縄文　奈良　平安","細山-10",74,139.5123,35.6161,1
14137001300,14137,"麻生区No.13","","その他の墓","川崎市麻生区千代ヶ丘6-8-3","平安","細山-20",74,139.5108,35.6161,1
14137001500,14137,"麻生区No.15","坂東谷遺跡","その他の墓 集落跡","川崎市麻生区千代ヶ丘6-3-22","平安","細山-21",74,139.5102,35.6153,1
14137001600,14137,"麻生区No.16","弦巻遺跡・稲荷森遺跡","散布地","川崎市麻生区高石3-25ほか","縄文　弥生　古墳　奈良　平安","細山-5",74,139.5191,35.6147,1
14137001900,14137,"麻生区No.19","","集落跡","川崎市麻生区高石2-2ほか","縄文　奈良　平安","細山-12",74,139.5114,35.61059,1
14137002000,14137,"麻生区No.20","","散布地","川崎市麻生区高石5-15ほか","縄文　奈良　平安","長沢-7",75,139.5217,35.60452,1
14137002200,14137,"麻生区No.22","生田ナベコロガシ遺跡","その他の墓","川崎市麻生区東百合丘2-5","平安","長沢-19",69,139.5272,35.60017,1
14137002400,14137,"麻生区No.24","日吉谷遺跡","散布地","川崎市麻生区王禅寺東2-42","縄文　奈良　平安","王禅寺-6",76,139.5194,35.5905,1
14137002600,14137,"麻生区No.26","","その他の墓","川崎市麻生区千代ヶ丘5-8-2","平安","細山-19",74,139.5081,35.61428,1
14137002700,14137,"麻生区No.27","","散布地","川崎市麻生区千代ヶ丘3-17ほか","奈良　平安","細山-15",74,139.5079,35.61321,1
14137003200,14137,"麻生区No.32","","散布地","川崎市麻生区万福寺215ほか","奈良　平安","百合丘-4",75,139.5036,35.60677,1
14137003500,14137,"麻生区No.35","","散布地","川崎市麻生区万福寺550ほか","縄文　弥生　古墳　奈良　平安","百合丘-1",74,139.5109,35.60824,1
