place_id,SiteType,Chronology,Pa,Jo,Ya,Ko,Na,He,Me,site_type_tokens,has_special_site_type_flag,has_special_function_site_type,special_site_type_class
13228009100,集落・経塚・社寺・城館,[旧石器時代][縄文時代（草創期〜後期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世],1,1,1,1,1,1,1,集落;経塚;社寺;城館,TRUE,TRUE,mound_burial_or_isolated
13228009200,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13228009400,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13228009500,集落・城館,[縄文時代（中期）][平安時代][中世],0,1,0,0,0,1,1,集落;城館,TRUE,TRUE,special_function
13228009800,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13228010700,その他（生産（切石）関連）,[中世][近世],0,0,0,0,0,0,1,その他（生産（切石）関連）,TRUE,TRUE,special_function
13303002000,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13305001200,城館,NA,0,0,0,0,0,0,0,城館,TRUE,TRUE,special_function
13305001300,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13305001400,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13305001700,集落・社寺・窯,[旧石器時代][縄文時代（前期）][古墳時代][奈良時代][平安時代][中世][近世],1,1,0,1,1,1,1,集落;社寺;窯,TRUE,TRUE,special_function
13307001900,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
