place_id,phase_code,presence,phase_order,next_phase_code,next_phase_order,next_presence,transition,phase_pair,phase_pair_order
13103003100,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13103003100,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13103003100,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103003100,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13103003300,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13103003300,Jo,0,2,Ya,3,0,apparent_absence_continue,Jo->Ya,2
13103003300,Ya,0,3,Ko,4,1,new,Ya->Ko,3
13103003300,Ko,1,4,Na,5,0,drop,Ko->Na,4
13103003300,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103003300,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13103003700,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13103003700,Jo,0,2,Ya,3,1,new,Jo->Ya,2
13103003700,Ya,1,3,Ko,4,0,drop,Ya->Ko,3
13103003700,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13103003700,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103003700,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13103003800,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13103003800,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13103003800,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13103003800,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13103003800,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103003800,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13103003900,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13103003900,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13103003900,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13103003900,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13103003900,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103003900,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13103004000,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13103004000,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13103004000,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13103004000,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13103004000,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103004000,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13103004100,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13103004100,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13103004100,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13103004100,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13103004100,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103004100,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13103004200,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13103004200,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13103004200,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13103004200,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
