"JASID","自治体コード","遺跡名","緯度","経度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明"
13111014400,13111,"多摩川台公園内横穴墓",35.58950333,139.6659315,"0","0","0","1","1","0","0","0","0"
13111014500,13111,"扇塚古墳",35.58696438,139.6709204,"0","0","0","1","0","0","0","0","0"
13111014600,13111,"北千束三丁目10番横穴墓",35.60609209,139.6886765,"0","0","0","1","1","0","0","0","0"
13111014700,13111,"馬込仲井遺跡",35.58594297,139.7153385,"0","0","0","0","0","1","0","0","0"
13111014800,13111,"三輪厳島神社塚",35.56703332,139.7364313,"0","0","0","0","0","0","1","0","0"
13111014900,13111,"小池横穴墓",35.60115284,139.6969071,"0","0","0","1","1","0","0","0","0"
13111015000,13111,"どりこの坂横穴墓群",35.59193157,139.6691194,"0","0","0","1","1","0","0","0","0"
13111015100,13111,"東糀谷薬師塚古墳",35.55951162,139.7407095,"0","0","0","1","0","0","0","0","0"
13111015200,13111,"南馬込四丁目27番横穴墓",35.58605791,139.7137962,"0","0","0","1","1","0","0","0","0"
13111015300,13111,"長遠寺遺跡",35.59103109,139.7094886,"0","0","0","0","0","0","1","0","0"
13111015400,13111,"法養寺裏横穴墓",35.57802057,139.707876,"0","0","0","1","1","0","0","0","0"
13111015500,13111,"浅間神社北古墳",35.58793012,139.6682356,"0","0","0","1","0","0","0","0","0"
13111015600,13111,"西嶺古墳",35.58063574,139.6779988,"0","0","0","1","0","0","0","0","0"
13111015700,13111,"鵜の木一丁目15番古墳",35.57641237,139.6826498,"0","0","0","1","0","0","0","0","0"
13111015800,13111,"三島塚古墳",35.57518197,139.6830467,"0","0","0","1","0","0","0","0","0"
13111015900,13111,"八幡神社境内古墳",35.59580502,139.6572278,"0","0","0","1","0","0","0","0","0"
13111016000,13111,"西糀谷大塚",35.55528909,139.7346606,"0","0","0","1","0","0","0","0","0"
13111016100,13111,"長勝寺裏横穴墓群",35.5784336,139.7113694,"0","0","0","1","1","0","0","0","0"
13111016200,13111,"三本松塚",35.59649433,139.7107203,"0","0","0","0","0","0","1","0","0"
13111016300,13111,"新田義興塚",35.56506429,139.6906627,"0","0","0","0","0","0","1","0","0"
13111016400,13111,"金山神社塚",35.57581576,139.7301142,"0","0","0","0","0","0","1","0","0"
13111016500,13111,"大桜大塚",35.57527545,139.6860204,"0","0","0","0","0","0","1","0","0"
13111016700,13111,"平張横穴墓群",35.58562107,139.718069,"0","0","0","1","1","0","0","0","0"
13111016800,13111,"鵜の木一丁目横穴墓群",35.57724445,139.6814408,"0","0","0","1","1","0","0","0","0"
13111016900,13111,"久保遺跡",35.59008824,139.7112401,"0","1","0","0","0","0","0","0","0"
13111017000,13111,"山王塚",35.59318545,139.7212286,"0","0","0","0","0","0","1","0","0"
13111017100,13111,"久が原五丁目17番横穴墓",35.57698667,139.6985422,"0","0","0","1","0","0","0","0","0"
13111017200,13111,"池上二丁目1番遺跡",35.58116395,139.7038385,"0","1","0","0","0","0","1","1","0"
13111017300,13111,"都立田園調布高等学校内遺跡",35.58252941,139.6765192,"0","1","1","0","0","0","0","0","0"
13111017400,13111,"中馬込三丁目2・11番横穴墓",35.59313895,139.7036202,"0","0","0","1","1","0","0","0","0"
13111017500,13111,"山王三丁目37番横穴墓",35.58572289,139.723946,"0","0","0","1","1","0","0","0","0"
13111017600,13111,"久保横穴墓",35.59172559,139.715143,"0","0","0","1","1","0","0","0","0"
13111017700,13111,"上池上横穴墓",35.59533746,139.7020967,"0","0","0","1","1","0","0","0","0"
13111017800,13111,"大森射的場跡横穴墓群",35.58984764,139.722665,"0","0","0","1","1","0","0","0","0"
13111017900,13111,"元八景園裏横穴墓",35.58769639,139.7268606,"0","0","0","1","1","0","0","0","0"
13111018000,13111,"山王二丁目14・24番横穴墓",35.58875384,139.7242232,"0","0","0","1","1","0","0","0","0"
13111018200,13111,"祈念寺塚",35.58552474,139.7292311,"0","0","0","0","0","0","1","0","0"
13111018300,13111,"内川耕地貝塚",35.57917748,139.7336619,"0","0","0","0","0","0","1","0","0"
13111018400,13111,"王森稲荷貝塚",35.57645732,139.735505,"0","0","0","0","0","0","0","0","1"
13111018500,13111,"浜端貝塚",35.57039235,139.7377773,"0","0","0","0","0","1","0","0","0"
13111018600,13111,"三輪厳島神社遺跡",35.56694695,139.7363434,"0","0","0","0","1","0","0","0","0"
13111018700,13111,"妙蓮塚",35.56790833,139.6860345,"0","0","0","0","0","0","1","0","0"
13111018800,13111,"下丸子天祖神社付近遺跡",35.57068351,139.6860559,"0","0","0","1","0","0","0","0","0"
13111018900,13111,"鎌田屋敷跡",35.56481887,139.7018703,"0","0","0","0","0","0","1","0","0"
13111019000,13111,"山伏木遺跡",35.56464432,139.7005613,"0","0","0","0","0","0","1","0","0"
13111019100,13111,"十騎明神塚",35.56295117,139.6917637,"0","0","0","0","0","0","1","0","0"
13111019200,13111,"鵜ノ木奥島天神の森遺跡",35.57090525,139.7113104,"0","0","0","0","0","0","0","0","1"
13111019300,13111,"星谷明神塚",35.56722246,139.7136922,"0","0","0","0","0","0","0","0","1"
13111019400,13111,"村山明神塚",35.56676864,139.7159238,"0","0","0","0","0","0","0","0","1"
13111019500,13111,"白山明神塚",35.56711934,139.7155685,"0","0","0","0","0","0","0","0","1"
13111019600,13111,"浅間明神塚",35.56537931,139.7142505,"0","0","0","0","0","0","0","0","1"
13111019700,13111,"白旗明神塚",35.56462353,139.7119818,"0","0","0","0","0","0","0","0","1"
13111019800,13111,"承位明神塚",35.56458838,139.7127596,"0","0","0","0","0","0","0","0","1"
13111019900,13111,"妙典寺遺跡",35.5674357,139.7247515,"0","0","0","0","0","0","1","0","0"
13111020000,13111,"北蒲田古墳",35.56578356,139.7228069,"0","0","0","1","0","0","0","0","0"
13111020100,13111,"清光庵貝塚",35.55996708,139.7308758,"0","0","0","0","1","1","0","0","0"
13111020200,13111,"西糀谷庚申塚",35.55691223,139.7333488,"0","0","0","0","1","1","0","0","0"
13111020300,13111,"洗足池公園付近遺跡",35.60333962,139.690231,"0","1","0","0","0","0","0","0","0"
13111020500,13111,"お伊勢塚",35.55668216,139.7093741,"0","0","0","1","0","0","0","0","0"
13111020600,13111,"町屋稲荷貝塚",35.55430802,139.7094385,"0","0","0","0","1","1","0","0","0"
13111020700,13111,"小鳥塚",35.55383667,139.7081295,"0","0","0","1","0","0","0","0","0"
13111020800,13111,"西六郷一丁目22番貝塚",35.55395887,139.7065417,"0","0","0","0","1","1","1","0","0"
13111020900,13111,"天王木古墳",35.55200363,139.7060911,"0","0","0","1","0","0","0","0","0"
13111021000,13111,"高畑・神明塚",35.54842472,139.7074804,"0","0","0","0","0","0","0","0","1"
13111021100,13111,"古川薬師堂跡遺跡",35.54952485,139.7042618,"0","0","0","0","1","0","0","0","0"
13111021200,13111,"高畑貝塚",35.54839006,139.707502,"0","0","0","0","1","1","0","0","0"
13111021300,13111,"町屋242番貝塚",35.55298868,139.7134392,"0","0","0","0","1","1","0","0","0"
13111021400,13111,"町屋稲荷塚",35.55276125,139.714648,"0","0","0","0","0","0","0","0","1"
13111021500,13111,"装束塚",35.5523728,139.7154995,"0","0","0","0","0","0","0","0","1"
13111021600,13111,"出村・明神山遺跡",35.55227393,139.7175451,"0","0","0","0","0","0","0","0","1"
13111021700,13111,"東陽院裏貝塚",35.54425197,139.7096275,"0","0","0","0","1","1","0","0","0"
13111021800,13111,"ニトウ塚",35.54381548,139.7085117,"0","0","0","0","0","0","0","0","1"
13111021900,13111,"六郷橋付近貝塚",35.54011399,139.7079967,"0","0","0","0","1","1","0","0","0"
13111022000,13111,"勧乗寺裏貝塚",35.54222665,139.7120093,"0","0","0","0","1","1","0","0","0"
13111022100,13111,"雑色・天神山遺跡",35.54517731,139.71879,"0","0","0","0","0","0","0","0","1"
13111022200,13111,"森入道塚",35.54592805,139.7212147,"0","0","0","0","0","0","1","0","0"
